hhinc,hhinc_reg
"$30,000 to $39,999","$30,000 to $59,999"
"$40,000 to $49,999","$30,000 to $59,1000"
"$50,000 to $59,999","$30,000 to $59,1001"
"$60,000 to $69,999","$60,000 to $89,999"
"$70,000 to $79,999","$60,000 to $89,999"
"$80,000 to $89,999","$60,000 to $89,999"
"$10,000 to $19,999","Less than $29,999"
"$20,000 to $29,999","Less than $29,999"
"Less than $10,000","Less than $29,999"
"$100,000 to $149,999","Over $90,000"
"$150,000 or more","Over $90,000"
"$90,000 to $99,999","Over $90,000"
